確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,
Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 0: 入口審査,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 1: データ品質・信憑性チェック,Step 2：定量評価・スコアリング																																			,Step 2：定量評価・スコアリング																																			,Step 2：定量評価・スコアリング																																			,Step 2：定量評価・スコアリング																																			,Step 2：定量評価・スコアリング																																			,Step 2：定量評価・スコアリング																																			,Step 2：定量評価・スコアリング																																			,Step 2：定量評価・スコアリング																																			,Step 2：定量評価・スコアリング																																			,Step 2：定量評価・スコアリング																																			,
①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,①社内・信用情報のスクリーニング,② 申込内容の適正確認,② 申込内容の適正確認,② 申込内容の適正確認,② 申込内容の適正確認,② 申込内容の適正確認,② 申込内容の適正確認,② 申込内容の適正確認,② 申込内容の適正確認,② 申込内容の適正確認,③ 業種別「営業許可・法的要件」の確認（許認可がないと事業不可）,③ 業種別「営業許可・法的要件」の確認（許認可がないと事業不可）,③ 業種別「営業許可・法的要件」の確認（許認可がないと事業不可）,①データ鮮度と基本品質の確認,①データ鮮度と基本品質の確認,①データ鮮度と基本品質の確認,①データ鮮度と基本品質の確認,①データ鮮度と基本品質の確認,①データ鮮度と基本品質の確認,①データ鮮度と基本品質の確認,①データ鮮度と基本品質の確認,①データ鮮度と基本品質の確認,②財務データの精度確認（粉飾・推計の検知）,②財務データの精度確認（粉飾・推計の検知）,②財務データの精度確認（粉飾・推計の検知）,②財務データの精度確認（粉飾・推計の検知）,②財務データの精度確認（粉飾・推計の検知）,②財務データの精度確認（粉飾・推計の検知）,②財務データの精度確認（粉飾・推計の検知）,②財務データの精度確認（粉飾・推計の検知）,②財務データの精度確認（粉飾・推計の検知）,③整合性確認,③整合性確認,③整合性確認,③整合性確認,③整合性確認,③整合性確認,①スコアリング・ルート判定,①スコアリング・ルート判定,①スコアリング・ルート判定,② 定量評価・スコアリング,② 定量評価・スコアリング,② 定量評価・スコアリング,② 定量評価・スコアリング,② 定量評価・スコアリング,② 定量評価・スコアリング,② 定量評価・スコアリング,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無",直近2年以内に貸倒・法的手続き・長期延滞あり,"→NG
貸倒・法的手続き・長期延滞ありは2年以内に関係なく全てNG

※長期延滞や再契約でも地震や風水災に起因しで当社が已む無しと認めその後再契約している先（再契約に至る経緯をCMSで確認すればわかる）の場合は「直近2年以内にの支払に遅れなし
もしくは取引なし」ルートに合流",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無",直近2年以内に短期遅延あり,→右のルートへ,短期遅延回数を確認,5回以上,"→NG
回収不能リスクが極めて高いため",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無",直近2年以内に短期遅延あり,→右のルートへ,短期遅延回数を確認,1~4回,"→減点

※フロー最終の審査時にここで加点/減点された情報を考慮すること
※「直近2年以内にの支払に遅れなしもしくは取引なし」ルートに合流",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",暴言、威圧的、粗暴な対応記録あり,"→NG
コンプライアンスおよび正常な取引関係維持が困難なため。
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→右のルートへ
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",「F情報」を確認（生年月日/企業名/電話番号等の照合）し、完全に一致,→NG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",「社内支払ネガ情報」で貸倒・法的措置・遅延再契約あり、または税務署・警察・社会保険事務所からシャープファイナンに問い合わせが過去にあった場合,"→NG
※社内支払ネガ情報は原則NGであるが例外として震災や風水災の被災者で人道的な観点から当社が返済を猶予し、後日再契約などを行っている場合は正常として扱う「該当なし」ルートに合流",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合","モニター①に該当
半年に1度（4月・10月）モニターチェック実施。登録月以降のチェック月に保証残があり更新されなければ対象外
最新状態ではモニター①に該当しなくても、1年前の履歴等で引っかかるケースがあるためCICでの裏取りが必須。","→原則NG
※以下の例外に合致する場合は減点
1. 登録日時が 2年以上前である。
2. 外部情報（CIC）を確認し、異動情報が抹消 されている。 

※フロー最終の審査時にここで加点/減点された情報を考慮すること
※「該当なし」ルートに合流",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合","モニター② に該当
キャッシングを確認（件数と金額を確認）
※本人の支払い状況をＣＩＣ側で確認。
※法人：代表者の保証人か、個人事業主本人かその保証人に対してチェック","→NG（件数・金額過多ならNG、許容範囲なら減点）

※フロー最終の審査時にここで加点/減点された情報を考慮すること
※「該当なし」ルートに合流",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合","モニター③に該当
半年に1度（4月・10月）モニターチェック実施。登録月以降のチェック月に保証残があり更新されなければ対象外","→原則NG

※以下の例外に合致する場合は減点
1. 登録日時が 2年以上前 である。
2. 外部情報（CIC）を確認し、直近2年以内に遅れがない ことが確認できる。
※フロー最終の審査時にここで加点/減点された情報を考慮すること
※「該当なし」ルートに合流",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合","「TDB・TSR情報該当」「社内登録情報」に該当
情報登録時期と情報内容によって個別判断
確定情報か、疑いありというものか、登録時期からどのくらい経過しているか","→NGの場合
例：
ﾘｽｹ中（情報発生から5年以内）
支払遅延（3年経過の場合は減点）
架空在庫や循環取引の噂（期間関係なしでNG）

→減点の場合
取引先破産で焦付発生（5年内で減点、5年経過の場合はOK）
労災事故で書類送検（3年内で減点、3年経過の場合はOK）

※フロー最終の審査時にここで加点/減点された情報を考慮すること
※「該当なし」ルートに合流",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する

※入替で多額の残債が含まれていることが前提（申込時は商品１つしか入っておらず入替との記載がなければ商品内訳の確認を行うことが前提）",商品相場（例：複合機なら通常200万円以内）に対し、申込金額が著しく高い（例：400万～500万円）。,"→右のルートへ
金額に不自然な上乗せがあるため、理由を確認する。","「入替」に伴う残債（上乗せ）の確認
見積書に「以前の債務（残債）」が含まれていないか精査
・他社残： 他社リースの残りを清算して乗り換えるため。
・自社残： シャープファイナンスの既存リースの残りを乗せるため。",見積書を確認し、残債が物件価格の半額以上,"→右のルートへ
本来の価値と乖離しすぎているため原則NG。","（残債過多時の救済）
販売店の推進状況確認",「主力店以外」,"→NG
リスク許容不可。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→OK
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する

※入替で多額の残債が含まれていることが前提（申込時は商品１つしか入っておらず入替との記載がなければ商品内訳の確認を行うことが前提）",商品相場（例：複合機なら通常200万円以内）に対し、申込金額が著しく高い（例：400万～500万円）。,"→右のルートへ
金額に不自然な上乗せがあるため、理由を確認する。","「入替」に伴う残債（上乗せ）の確認
見積書に「以前の債務（残債）」が含まれていないか精査
・他社残： 他社リースの残りを清算して乗り換えるため。
・自社残： シャープファイナンスの既存リースの残りを乗せるため。",見積書を確認し、残債が物件価格の半額以上,"→右のルートへ
本来の価値と乖離しすぎているため原則NG。","（残債過多時の救済）
販売店の推進状況確認","「主力店」である

※補足：以下、金額別の決済担当
2M未満：店担当者のコメント確認し販売店との取引上対応したい旨の確認
2M～5M：支店長が残債50%以上の取組について決裁したもの
5M超：事業企画部長の決裁を受けられたもの","→減点
主力店の時社内で個別事情勘案し検討

※フロー最終の審査時にここで加点/減点された情報を考慮すること
※「相場相当」ルートに合流",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",商品相場（例：複合機なら通常200万円以内）に対し、申込金額が著しく高い（例：400万～500万円）。,"→右のルートへ
金額に不自然な上乗せがあるため、理由を確認する。","「入替」に伴う残債（上乗せ）の確認
見積書に「以前の債務（残債）」が含まれていないか精査
・他社残： 他社リースの残りを清算して乗り換えるため。
・自社残： シャープファイナンスの既存リースの残りを乗せるため。",見積書を確認し、残債が物件価格の半額未満,"→減点
許容範囲内か、金額そのものの与信審査で判断する。

※フロー最終の審査時にここで加点/減点された情報を考慮すること
※「相場相当」ルートに合流",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",無許可、処分中、未提出、著しい悪評,"→NG
事業実態なし、またはコンプラ違反のため
（業種別の詳細は個別判断表に記載）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,"乖離あり（＝評点45点以上かつ倒産予測値G8〜10）

※定義があるわけではないが高い倒産予測値はcoⅡ45点以下の先に発生することが多いと見ている。45点以上で発生する場合は直近に不安情報の発生や問合せの急増が発生したか新規調査が無く評点見直し出来ていない場合が多い。
※また評点を急に低下させて信用不安が高くなった場合、対象企業から信用調査機関への責任追及されるリスクもある為評点を急激に変化させないこともある",→右のルートへ,調査年月日,調査年月日の記載なし,→右のルートへ,申込先情報を取得する（法人格/業種/代表者/所在地）,NPO法人,→右のルートへ,"資料：内閣府NPO法人ポータル
（活動報告/決算/事業内容）
資料：vanⅡ（coⅡと同じ信用調査会社の情報）
資料：不動産謄本（会社や代表の保有する資産内容と担保設定状況。中には差押や金融機関以外からの担保設定なども確認出来る事あり）",活動実体が薄い/不明瞭 ,"→ NG寄り（要精査）

※NGでなければ、フロー最終の審査時にここで減産された情報を考慮すること
※coⅡ評点と倒産予測値の乖離なしルートに合流",,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離あり,"→TDBへ詳細確認
本業以外の「特別利益」で嵩上げしているか、TDBが財務諸表に出ていないネガティブ情報（裏情報）を掴んでいる可能性があるため。",調査年月日,調査年月日の記載なし,→右のルートへ,申込先情報を取得する（法人格/業種/代表者/所在地）,NPO法人,→右のルートへ,"資料：内閣府NPO法人ポータル
（活動報告/決算/事業内容）
資料：vanⅡ（coⅡと同じ信用調査会社の情報）
資料：不動産謄本（会社や代表の保有する資産内容と担保設定状況。中には差押や金融機関以外からの担保設定なども確認出来る事あり）",決算が弱い/債務超過等が疑われる,"→ NG寄り（要精査）

※NGでなければ、フロー最終の審査時にここで減産された情報を考慮すること
※coⅡ評点と倒産予測値の乖離なしルートに合",,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離あり,"→TDBへ詳細確認
本業以外の「特別利益」で嵩上げしているか、TDBが財務諸表に出ていないネガティブ情報（裏情報）を掴んでいる可能性があるため。",調査年月日,調査年月日の記載なし,→右のルートへ,申込先情報を取得する（法人格/業種/代表者/所在地）,NPO法人,→右のルートへ,"資料：内閣府NPO法人ポータル
（活動報告/決算/事業内容）
資料：vanⅡ（coⅡと同じ信用調査会社の情報）
資料：不動産謄本（会社や代表の保有する資産内容と担保設定状況。中には差押や金融機関以外からの担保設定なども確認出来る事あり）",活動継続性が高く財務も良い ,"→ 加点
※フロー最終の審査時にここで加点された情報を考慮すること
※coⅡ評点と倒産予測値の乖離なしルートに合流",,,,,,,,,,,,,,,,,,,,
