確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,条件分岐,結果,確認内容,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離あり,"→TDBへ詳細確認
本業以外の「特別利益」で嵩上げしているか、TDBが財務諸表に出ていないネガティブ情報（裏情報）を掴んでいる可能性があるため。",調査年月日,調査年月日の記載なし,→右のルートへ,申込先情報を取得する（法人格/業種/代表者/所在地）,NPO法人,→右のルートへ,"資料：内閣府NPO法人ポータル
（活動報告/決算/事業内容）
資料：vanⅡ（coⅡと同じ信用調査会社の情報）
資料：不動産謄本（会社や代表の保有する資産内容と担保設定状況。中には差押や金融機関以外からの担保設定なども確認出来る事あり）",不動産に差押えや不審な担保設定がある,→NG,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離あり,"→TDBへ詳細確認
本業以外の「特別利益」で嵩上げしているか、TDBが財務諸表に出ていないネガティブ情報（裏情報）を掴んでいる可能性があるため。",調査年月日,調査年月日の記載なし,→右のルートへ,申込先情報を取得する（法人格/業種/代表者/所在地）,"資産総額登記義務が必要な
医療/社福/学校 等の法人",→右のルートへ,"資料：商業謄本
（施設網羅/純資産推移）
資料：vanⅡ（coⅡと同じ信用調査会社の情報）
資料：不動産謄本（会社や代表の保有する資産内容と担保設定状況。中には差押や金融機関以外からの担保設定なども確認出来る事あり）",施設が網羅されている ,"→ 実体確認OK（不足/不一致なら要精査）
※フロー最終の審査時にここで加点/減点された情報を考慮すること
※coⅡ評点と倒産予測値の乖離なしルートに合流",,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離あり,"→TDBへ詳細確認
本業以外の「特別利益」で嵩上げしているか、TDBが財務諸表に出ていないネガティブ情報（裏情報）を掴んでいる可能性があるため。",調査年月日,調査年月日の記載なし,→右のルートへ,申込先情報を取得する（法人格/業種/代表者/所在地）,"資産総額登記義務が必要な
医療/社福/学校 等の法人",→右のルートへ,"資料：商業謄本
（施設網羅/純資産推移）
資料：vanⅡ（coⅡと同じ信用調査会社の情報）
資料：不動産謄本（会社や代表の保有する資産内容と担保設定状況。中には差押や金融機関以外からの担保設定なども確認出来る事あり）",純資産が増加基調/安定 ,"→ 加点候補
※フロー最終の審査時にここで加点/減点された情報を考慮すること
※coⅡ評点と倒産予測値の乖離なしルートに合流",,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離あり,"→TDBへ詳細確認
本業以外の「特別利益」で嵩上げしているか、TDBが財務諸表に出ていないネガティブ情報（裏情報）を掴んでいる可能性があるため。",調査年月日,調査年月日の記載なし,→右のルートへ,申込先情報を取得する（法人格/業種/代表者/所在地）,"資産総額登記義務が必要な
医療/社福/学校 等の法人",→右のルートへ,"資料：商業謄本
（施設網羅/純資産推移）
資料：vanⅡ（coⅡと同じ信用調査会社の情報）
資料：不動産謄本（会社や代表の保有する資産内容と担保設定状況。中には差押や金融機関以外からの担保設定なども確認出来る事あり）",純資産が減少基調/毀損 ,"→ 減点 or NG候補
※フロー最終の審査時にここで加点/減点された情報を考慮すること
※coⅡ評点と倒産予測値の乖離なしルートに合流",,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離あり,"→TDBへ詳細確認
本業以外の「特別利益」で嵩上げしているか、TDBが財務諸表に出ていないネガティブ情報（裏情報）を掴んでいる可能性があるため。",調査年月日,調査年月日の記載なし,→右のルートへ,申込先情報を取得する（法人格/業種/代表者/所在地）,"資産総額登記義務が必要な
医療/社福/学校 等の法人",→右のルートへ,"資料：商業謄本
（施設網羅/純資産推移）
資料：vanⅡ（coⅡと同じ信用調査会社の情報）
資料：不動産謄本（会社や代表の保有する資産内容と担保設定状況。中には差押や金融機関以外からの担保設定なども確認出来る事あり）",不動産に差押えや不審な担保設定がある,→NG,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離あり,"→TDBへ詳細確認
本業以外の「特別利益」で嵩上げしているか、TDBが財務諸表に出ていないネガティブ情報（裏情報）を掴んでいる可能性があるため。",調査年月日,調査年月日の記載なし,→右のルートへ,申込先情報を取得する（法人格/業種/代表者/所在地）,測量業者,→右のルートへ,"資料：測量要覧（役所に提出の最新業績と自己資本・負債状況）
資料：vanⅡ（coⅡと同じ信用調査会社の情報）
資料：不動産謄本（会社や代表の保有する資産内容と担保設定状況。中には差押や金融機関以外からの担保設定なども確認出来る事あり）
",自己資本が低い,"→ 減点
※フロー最終の審査時にここで加点/減点された情報を考慮すること
※coⅡ評点と倒産予測値の乖離なしルートに合流",,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離あり,"→TDBへ詳細確認
本業以外の「特別利益」で嵩上げしているか、TDBが財務諸表に出ていないネガティブ情報（裏情報）を掴んでいる可能性があるため。",調査年月日,調査年月日の記載なし,→右のルートへ,申込先情報を取得する（法人格/業種/代表者/所在地）,測量業者,→右のルートへ,"資料：測量要覧（役所に提出の最新業績と自己資本・負債状況）
資料：vanⅡ（coⅡと同じ信用調査会社の情報）
資料：不動産謄本（会社や代表の保有する資産内容と担保設定状況。中には差押や金融機関以外からの担保設定なども確認出来る事あり）
","
債務回転期間が大きい"," → 減点
※フロー最終の審査時にここで加点/減点された情報を考慮すること
※coⅡ評点と倒産予測値の乖離なしルートに合流",,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離あり,"→TDBへ詳細確認
本業以外の「特別利益」で嵩上げしているか、TDBが財務諸表に出ていないネガティブ情報（裏情報）を掴んでいる可能性があるため。",調査年月日,調査年月日の記載なし,→右のルートへ,申込先情報を取得する（法人格/業種/代表者/所在地）,測量業者,→右のルートへ,"資料：測量要覧（役所に提出の最新業績と自己資本・負債状況）
資料：vanⅡ（coⅡと同じ信用調査会社の情報）
資料：不動産謄本（会社や代表の保有する資産内容と担保設定状況。中には差押や金融機関以外からの担保設定なども確認出来る事あり）
",自己資本が大きく、財務内容を評価できる," → 加点
※フロー最終の審査時にここで加点/減点された情報を考慮すること
※coⅡ評点と倒産予測値の乖離なしルートに合流",,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離あり,"→TDBへ詳細確認
本業以外の「特別利益」で嵩上げしているか、TDBが財務諸表に出ていないネガティブ情報（裏情報）を掴んでいる可能性があるため。",調査年月日,調査年月日の記載なし,→右のルートへ,申込先情報を取得する（法人格/業種/代表者/所在地）,測量業者,→右のルートへ,"資料：測量要覧（役所に提出の最新業績と自己資本・負債状況）
資料：vanⅡ（coⅡと同じ信用調査会社の情報）
資料：不動産謄本（会社や代表の保有する資産内容と担保設定状況。中には差押や金融機関以外からの担保設定なども確認出来る事あり）
",不動産に差押えや不審な担保設定がある,→NG,,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離あり,"→TDBへ詳細確認
本業以外の「特別利益」で嵩上げしているか、TDBが財務諸表に出ていないネガティブ情報（裏情報）を掴んでいる可能性があるため。",調査年月日,調査年月日の記載なし,→右のルートへ,申込先情報を取得する（法人格/業種/代表者/所在地）,土木建設,→右のルートへ,"資料：経審Y（役所に提出の最新業績と自己資本・負債状況）
資料：vanⅡ（coⅡと同じ信用調査会社の情報）
資料：不動産謄本（会社や代表の保有する資産内容と担保設定状況。中には差押や金融機関以外からの担保設定なども確認出来る事あり）",自己資本が低い,"→ 減点
※フロー最終の審査時にここで加点/減点された情報を考慮すること
※coⅡ評点と倒産予測値の乖離なしルートに合流",,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離あり,"→TDBへ詳細確認
本業以外の「特別利益」で嵩上げしているか、TDBが財務諸表に出ていないネガティブ情報（裏情報）を掴んでいる可能性があるため。",調査年月日,調査年月日の記載なし,→右のルートへ,申込先情報を取得する（法人格/業種/代表者/所在地）,土木建設,→右のルートへ,"資料：経審Y（役所に提出の最新業績と自己資本・負債状況）
資料：vanⅡ（coⅡと同じ信用調査会社の情報）
資料：不動産謄本（会社や代表の保有する資産内容と担保設定状況。中には差押や金融機関以外からの担保設定なども確認出来る事あり）","
債務回転期間が大きい","→ 減点
※フロー最終の審査時にここで加点/減点された情報を考慮すること
※coⅡ評点と倒産予測値の乖離なしルートに合流",,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離あり,"→TDBへ詳細確認
本業以外の「特別利益」で嵩上げしているか、TDBが財務諸表に出ていないネガティブ情報（裏情報）を掴んでいる可能性があるため。",調査年月日,調査年月日の記載なし,→右のルートへ,申込先情報を取得する（法人格/業種/代表者/所在地）,土木建設,→右のルートへ,"資料：経審Y（役所に提出の最新業績と自己資本・負債状況）
資料：vanⅡ（coⅡと同じ信用調査会社の情報）
資料：不動産謄本（会社や代表の保有する資産内容と担保設定状況。中には差押や金融機関以外からの担保設定なども確認出来る事あり）",自己資本が大きく、財務内容を評価できる," → 加点
※フロー最終の審査時にここで加点/減点された情報を考慮すること
※coⅡ評点と倒産予測値の乖離なしルートに合流",,,,,,,,,,,,,,,,,,,,
"社内取引履歴を確認
過去の取引（SFINCS・CMS）における事故・延滞の有無","直近2年以内にの支払に遅れなし
もしくは取引なし
（現支払中又は支払完済後3ヶ月以内で2年以内に遅れ無し→但し再リースは除く
取引無しは対象外）","→右のルートへ
過去に多少の遅れがあっても、直近2年が正常なら許容範囲とするため。",→右のルートへ,→右のルートへ,→右のルートへ,"顧客対応履歴
CMS会話ログ等における担当者への対応態度",問題なし,"→OK
特段の懸念がないため。","社内ネガ情報
社内ブラックリスト（F情報、モニター情報等）との照合",該当なし,"→右のルートへ
特段の懸念がないため。","申込金額の確認
物件（商品全般）相場と申込金額の乖離を確認する",相場相当,"→右のルートへ
正常な商取引とみなす。",→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,→右のルートへ,"業種別要件（足切りチェック）
・許可証・登録番号の有無
・行政処分（入札停止・取消）情報
・事業報告書の提出状況（NPO等）",許可あり・要件クリア,→右のルートへ,"COSMOSデータの有無
TDBデータベースへの登録有無",データあり,→右のルートへ,coⅡ評点と倒産予測値の乖離,乖離あり,"→TDBへ詳細確認
本業以外の「特別利益」で嵩上げしているか、TDBが財務諸表に出ていないネガティブ情報（裏情報）を掴んでいる可能性があるため。",調査年月日,調査年月日の記載なし,→右のルートへ,申込先情報を取得する（法人格/業種/代表者/所在地）,土木建設,→右のルートへ,"資料：経審Y（役所に提出の最新業績と自己資本・負債状況）
資料：vanⅡ（coⅡと同じ信用調査会社の情報）
資料：不動産謄本（会社や代表の保有する資産内容と担保設定状況。中には差押や金融機関以外からの担保設定なども確認出来る事あり）",不動産に差押えや不審な担保設定がある,→NG,,,,,,,,,,,,,,,,,,,,
